
STUDENT_ID  *  INSTRUCTOR_ID  *  ZIP    *  ZIP                                  
----------  *  -------------  *  -----  *  -----                                
       163  *            102  *  10025  *  10025                                
       163  *            103  *  10025  *  10025                                
       163  *            106  *  10025  *  10025                                
       163  *            108  *  10025  *  10025                                
       223  *            102  *  10025  *  10025                                
       223  *            103  *  10025  *  10025                                
       223  *            106  *  10025  *  10025                                
       223  *            108  *  10025  *  10025                                
       399  *            102  *  10025  *  10025                                
       399  *            103  *  10025  *  10025                                
       399  *            106  *  10025  *  10025                                
       399  *            108  *  10025  *  10025                                

12 rows selected.

