
STUDENT_ID  || SECTION_ID  || NUMERIC_GRADE                                                                                                           
----------  || ----------  || -------------                                                                                                           
       168  ||        133  ||            92                                                                                                           
       176  ||        115  ||            76                                                                                                           
       234  ||        137  ||            99                                                                                                           
       153  ||        144  ||            92                                                                                                           
       232  ||        149  ||            83                                                                                                           
       245  ||         82  ||            77                                                                                                           
       105  ||        155  ||            92                                                                                                           
       166  ||         88  ||            99                                                                                                           

8 rows selected.

